2017-09-26 14:03:00,243 | _code_cache:59 | INFO | Using writeable comtypes cache directory: 'C:\Python27\lib\site-packages\comtypes\gen'
2017-09-26 14:03:00,243 | __init__:155 | DEBUG | CoInitializeEx(None, 0)
2017-09-26 14:03:00,243 | __init__:155 | DEBUG | CoInitializeEx(None, 2)
2017-09-26 14:03:00,244 | _generate:100 | DEBUG | GetModule((('{CE70FCE4-26D9-4BAB-9626-EC88DB7F6A0A}', 3, 0),))
2017-09-26 14:03:00,280 | __init__:171 | DEBUG | CoUninitialize()
2017-09-26 14:03:16,772 | __init__:183 | DEBUG | Calling CoUnititialize()
2017-09-26 14:03:16,773 | __init__:193 | DEBUG | CoUnititialize() done.
2017-09-26 14:03:16,773 | camera:312 | INFO | Connection to camera simulate released
2017-09-26 14:15:48,799 | camera:246 | INFO | Camera simulate initialized
2017-09-26 14:15:48,832 | __init__:155 | DEBUG | CoInitializeEx(None, 2)
2017-09-26 14:15:48,845 | _code_cache:82 | INFO | Imported existing <module 'comtypes.gen' from 'C:\Python27\lib\site-packages\comtypes\gen\__init__.pyc'>
2017-09-26 14:15:48,846 | _code_cache:59 | INFO | Using writeable comtypes cache directory: 'C:\Python27\lib\site-packages\comtypes\gen'
2017-09-26 14:15:48,846 | __init__:155 | DEBUG | CoInitializeEx(None, 0)
2017-09-26 14:15:48,846 | __init__:155 | DEBUG | CoInitializeEx(None, 2)
2017-09-26 14:15:48,848 | _generate:100 | DEBUG | GetModule((('{CE70FCE4-26D9-4BAB-9626-EC88DB7F6A0A}', 3, 0),))
2017-09-26 14:15:48,884 | __init__:171 | DEBUG | CoUninitialize()
2017-09-26 14:16:11,361 | __init__:183 | DEBUG | Calling CoUnititialize()
2017-09-26 14:16:11,361 | __init__:193 | DEBUG | CoUnititialize() done.
2017-09-26 14:16:11,361 | camera:312 | INFO | Connection to camera simulate released
2017-09-26 14:16:36,963 | camera:246 | INFO | Camera simulate initialized
2017-09-26 14:16:36,997 | __init__:155 | DEBUG | CoInitializeEx(None, 2)
2017-09-26 14:16:37,010 | _code_cache:82 | INFO | Imported existing <module 'comtypes.gen' from 'C:\Python27\lib\site-packages\comtypes\gen\__init__.pyc'>
2017-09-26 14:16:37,012 | _code_cache:59 | INFO | Using writeable comtypes cache directory: 'C:\Python27\lib\site-packages\comtypes\gen'
2017-09-26 14:16:37,012 | __init__:155 | DEBUG | CoInitializeEx(None, 0)
